@relation banana1

@attribute x numeric
@attribute y numeric
@attribute class {1, 2}

@data
0.228,0.723,0
0.206,0.691,0
0.221,0.681,0
0.209,0.713,0
0.228,0.689,0
0.213,0.702,0
0.239,0.681,0
0.211,0.679,0
0.243,0.710,0
0.243,0.733,0
0.221,0.714,0
0.229,0.698,0
0.226,0.662,0
0.232,0.692,0
0.233,0.740,0
0.234,0.721,0
0.219,0.709,0
0.267,0.684,0
0.230,0.710,0
0.219,0.709,0
0.214,0.698,0
0.228,0.705,0
0.233,0.729,0
0.221,0.747,0
0.218,0.703,0
0.251,0.691,0
0.212,0.746,0
0.257,0.767,0
0.234,0.703,0
0.258,0.707,0
0.214,0.748,0
0.209,0.743,0
0.232,0.728,0
0.257,0.728,0
0.246,0.721,0
0.243,0.724,0
0.228,0.770,0
0.217,0.708,0
0.232,0.720,0
0.239,0.732,0
0.242,0.757,0
0.240,0.731,0
0.214,0.749,0
0.214,0.727,0
0.217,0.757,0
0.230,0.769,0
0.244,0.749,0
0.237,0.740,0
0.232,0.754,0
0.246,0.728,0
0.250,0.738,0
0.239,0.764,0
0.228,0.746,0
0.248,0.747,0
0.232,0.786,0
0.214,0.784,0
0.239,0.739,0
0.217,0.710,0
0.243,0.765,0
0.214,0.777,0
0.244,0.761,0
0.256,0.754,0
0.225,0.727,0
0.232,0.761,0
0.241,0.770,0
0.233,0.701,0
0.217,0.744,0
0.240,0.745,0
0.259,0.783,0
0.248,0.748,0
0.247,0.756,0
0.230,0.787,0
0.243,0.777,0
0.234,0.783,0
0.234,0.741,0
0.226,0.766,0
0.239,0.768,0
0.237,0.795,0
0.229,0.772,0
0.241,0.742,0
0.229,0.744,0
0.245,0.760,0
0.251,0.776,0
0.245,0.772,0
0.225,0.763,0
0.233,0.722,0
0.261,0.770,0
0.237,0.763,0
0.237,0.751,0
0.241,0.753,0
0.225,0.757,0
0.251,0.784,0
0.252,0.736,0
0.248,0.779,0
0.239,0.774,0
0.256,0.745,0
0.243,0.755,0
0.255,0.785,0
0.220,0.780,0
0.251,0.757,0
0.239,0.752,0
0.266,0.776,0
0.219,0.786,0
0.232,0.794,0
0.253,0.726,0
0.244,0.756,0
0.245,0.803,0
0.242,0.758,0
0.248,0.792,0
0.227,0.796,0
0.247,0.777,0
0.232,0.770,0
0.238,0.801,0
0.233,0.751,0
0.233,0.774,0
0.250,0.776,0
0.243,0.756,0
0.258,0.797,0
0.256,0.824,0
0.244,0.798,0
0.246,0.756,0
0.263,0.757,0
0.274,0.772,0
0.245,0.782,0
0.256,0.787,0
0.235,0.778,0
0.256,0.746,0
0.247,0.789,0
0.252,0.789,0
0.262,0.789,0
0.242,0.775,0
0.243,0.807,0
0.260,0.766,0
0.263,0.795,0
0.252,0.801,0
0.257,0.795,0
0.245,0.785,0
0.252,0.792,0
0.258,0.799,0
0.243,0.796,0
0.265,0.792,0
0.259,0.818,0
0.268,0.787,0
0.257,0.810,0
0.242,0.804,0
0.252,0.794,0
0.253,0.809,0
0.275,0.781,0
0.251,0.787,0
0.255,0.792,0
0.270,0.818,0
0.252,0.805,0
0.261,0.810,0
0.245,0.822,0
0.256,0.793,0
0.273,0.795,0
0.242,0.812,0
0.244,0.820,0
0.269,0.796,0
0.266,0.810,0
0.262,0.804,0
0.272,0.780,0
0.282,0.806,0
0.272,0.793,0
0.283,0.813,0
0.263,0.835,0
0.262,0.797,0
0.269,0.804,0
0.256,0.790,0
0.278,0.825,0
0.261,0.780,0
0.263,0.797,0
0.226,0.832,0
0.291,0.812,0
0.262,0.788,0
0.249,0.807,0
0.282,0.814,0
0.243,0.825,0
0.253,0.786,0
0.269,0.800,0
0.272,0.810,0
0.269,0.777,0
0.275,0.804,0
0.272,0.801,0
0.253,0.795,0
0.265,0.793,0
0.265,0.815,0
0.255,0.835,0
0.249,0.824,0
0.262,0.810,0
0.257,0.834,0
0.277,0.789,0
0.269,0.833,0
0.251,0.818,0
0.273,0.821,0
0.263,0.832,0
0.258,0.812,0
0.247,0.824,0
0.278,0.799,0
0.274,0.843,0
0.270,0.821,0
0.258,0.820,0
0.276,0.825,0
0.261,0.813,0
0.275,0.799,0
0.273,0.815,0
0.262,0.863,0
0.270,0.817,0
0.270,0.804,0
0.275,0.810,0
0.266,0.816,0
0.261,0.816,0
0.290,0.812,0
0.275,0.811,0
0.266,0.802,0
0.292,0.797,0
0.260,0.800,0
0.263,0.840,0
0.276,0.838,0
0.261,0.831,0
0.277,0.821,0
0.284,0.835,0
0.243,0.840,0
0.269,0.827,0
0.280,0.820,0
0.278,0.831,0
0.264,0.824,0
0.293,0.841,0
0.252,0.828,0
0.277,0.829,0
0.276,0.829,0
0.287,0.858,0
0.281,0.832,0
0.288,0.832,0
0.267,0.806,0
0.284,0.812,0
0.280,0.860,0
0.258,0.823,0
0.290,0.860,0
0.269,0.801,0
0.270,0.849,0
0.289,0.831,0
0.279,0.846,0
0.283,0.824,0
0.298,0.817,0
0.299,0.818,0
0.277,0.837,0
0.255,0.857,0
0.269,0.804,0
0.294,0.819,0
0.277,0.833,0
0.269,0.814,0
0.258,0.825,0
0.263,0.844,0
0.273,0.851,0
0.293,0.798,0
0.292,0.844,0
0.272,0.822,0
0.295,0.817,0
0.295,0.828,0
0.300,0.835,0
0.304,0.861,0
0.303,0.821,0
0.274,0.834,0
0.303,0.834,0
0.298,0.816,0
0.310,0.835,0
0.286,0.835,0
0.282,0.848,0
0.310,0.841,0
0.270,0.859,0
0.283,0.825,0
0.269,0.846,0
0.306,0.849,0
0.298,0.823,0
0.275,0.826,0
0.285,0.842,0
0.323,0.812,0
0.291,0.859,0
0.301,0.823,0
0.289,0.878,0
0.278,0.801,0
0.298,0.818,0
0.294,0.860,0
0.287,0.840,0
0.310,0.869,0
0.284,0.854,0
0.298,0.857,0
0.288,0.838,0
0.271,0.801,0
0.309,0.851,0
0.306,0.841,0
0.303,0.891,0
0.287,0.846,0
0.295,0.866,0
0.274,0.826,0
0.296,0.812,0
0.306,0.841,0
0.314,0.881,0
0.299,0.863,0
0.308,0.825,0
0.314,0.805,0
0.307,0.870,0
0.294,0.854,0
0.310,0.848,0
0.297,0.858,0
0.290,0.858,0
0.296,0.869,0
0.288,0.860,0
0.325,0.877,0
0.289,0.867,0
0.316,0.868,0
0.317,0.842,0
0.267,0.861,0
0.303,0.866,0
0.309,0.840,0
0.306,0.877,0
0.310,0.851,0
0.313,0.870,0
0.305,0.868,0
0.303,0.843,0
0.309,0.866,0
0.315,0.858,0
0.300,0.841,0
0.310,0.871,0
0.317,0.852,0
0.299,0.884,0
0.306,0.851,0
0.316,0.874,0
0.308,0.855,0
0.305,0.836,0
0.301,0.876,0
0.329,0.848,0
0.318,0.863,0
0.306,0.886,0
0.328,0.845,0
0.292,0.830,0
0.307,0.872,0
0.312,0.842,0
0.308,0.872,0
0.307,0.838,0
0.330,0.856,0
0.318,0.872,0
0.320,0.869,0
0.327,0.895,0
0.322,0.905,0
0.316,0.883,0
0.323,0.854,0
0.326,0.893,0
0.320,0.880,0
0.304,0.867,0
0.308,0.874,0
0.346,0.883,0
0.331,0.854,0
0.323,0.864,0
0.348,0.870,0
0.334,0.851,0
0.338,0.844,0
0.331,0.885,0
0.328,0.902,0
0.337,0.862,0
0.330,0.855,0
0.356,0.866,0
0.338,0.860,0
0.353,0.875,0
0.340,0.859,0
0.345,0.847,0
0.357,0.855,0
0.339,0.836,0
0.360,0.836,0
0.327,0.869,0
0.339,0.855,0
0.346,0.871,0
0.382,0.837,0
0.345,0.868,0
0.351,0.846,0
0.330,0.847,0
0.351,0.862,0
0.347,0.857,0
0.353,0.866,0
0.342,0.870,0
0.335,0.891,0
0.351,0.870,0
0.357,0.851,0
0.335,0.848,0
0.350,0.876,0
0.349,0.836,0
0.360,0.866,0
0.360,0.889,0
0.357,0.885,0
0.388,0.857,0
0.371,0.884,0
0.336,0.859,0
0.334,0.846,0
0.362,0.878,0
0.333,0.839,0
0.330,0.849,0
0.357,0.880,0
0.343,0.881,0
0.356,0.892,0
0.339,0.877,0
0.357,0.893,0
0.339,0.881,0
0.350,0.891,0
0.360,0.860,0
0.355,0.835,0
0.343,0.872,0
0.374,0.843,0
0.353,0.850,0
0.368,0.887,0
0.331,0.894,0
0.366,0.855,0
0.332,0.869,0
0.367,0.864,0
0.355,0.864,0
0.362,0.866,0
0.377,0.879,0
0.363,0.860,0
0.354,0.841,0
0.341,0.857,0
0.376,0.858,0
0.329,0.880,0
0.356,0.852,0
0.350,0.886,0
0.338,0.864,0
0.350,0.857,0
0.366,0.886,0
0.374,0.877,0
0.365,0.847,0
0.383,0.872,0
0.344,0.898,0
0.367,0.888,0
0.370,0.885,0
0.364,0.886,0
0.359,0.899,0
0.378,0.850,0
0.353,0.842,0
0.361,0.862,0
0.371,0.863,0
0.386,0.902,0
0.385,0.886,0
0.366,0.901,0
0.362,0.886,0
0.397,0.863,0
0.381,0.872,0
0.401,0.878,0
0.380,0.852,0
0.381,0.892,0
0.389,0.860,0
0.368,0.880,0
0.352,0.886,0
0.380,0.886,0
0.381,0.878,0
0.359,0.873,0
0.393,0.875,0
0.377,0.870,0
0.370,0.861,0
0.395,0.864,0
0.385,0.872,0
0.372,0.869,0
0.382,0.902,0
0.391,0.869,0
0.390,0.884,0
0.375,0.834,0
0.379,0.856,0
0.394,0.850,0
0.407,0.862,0
0.375,0.884,0
0.394,0.880,0
0.392,0.887,0
0.414,0.880,0
0.408,0.874,0
0.376,0.854,0
0.404,0.866,0
0.402,0.890,0
0.382,0.860,0
0.378,0.876,0
0.403,0.864,0
0.398,0.881,0
0.385,0.877,0
0.401,0.881,0
0.399,0.888,0
0.408,0.868,0
0.392,0.903,0
0.401,0.865,0
0.409,0.867,0
0.395,0.864,0
0.370,0.882,0
0.392,0.873,0
0.396,0.882,0
0.382,0.865,0
0.408,0.855,0
0.395,0.894,0
0.404,0.897,0
0.391,0.877,0
0.379,0.880,0
0.389,0.855,0
0.411,0.824,0
0.393,0.883,0
0.396,0.825,0
0.409,0.864,0
0.398,0.892,0
0.410,0.888,0
0.394,0.868,0
0.392,0.843,0
0.411,0.861,0
0.406,0.877,0
0.422,0.852,0
0.408,0.893,0
0.406,0.903,0
0.400,0.908,0
0.429,0.858,0
0.406,0.864,0
0.418,0.857,0
0.428,0.831,0
0.439,0.872,0
0.414,0.872,0
0.431,0.873,0
0.416,0.846,0
0.401,0.877,0
0.401,0.872,0
0.422,0.866,0
0.428,0.849,0
0.463,0.868,0
0.435,0.895,0
0.413,0.872,0
0.430,0.893,0
0.434,0.855,0
0.415,0.882,0
0.411,0.854,0
0.442,0.871,0
0.420,0.868,0
0.442,0.866,0
0.431,0.877,0
0.427,0.865,0
0.426,0.882,0
0.430,0.846,0
0.445,0.880,0
0.423,0.845,0
0.430,0.878,0
0.429,0.848,0
0.460,0.852,0
0.431,0.861,0
0.454,0.847,0
0.418,0.837,0
0.436,0.855,0
0.451,0.819,0
0.423,0.873,0
0.463,0.863,0
0.456,0.850,0
0.442,0.863,0
0.449,0.877,0
0.449,0.878,0
0.468,0.878,0
0.452,0.864,0
0.451,0.850,0
0.462,0.844,0
0.464,0.860,0
0.459,0.864,0
0.449,0.880,0
0.451,0.858,0
0.462,0.861,0
0.459,0.901,0
0.469,0.852,0
0.442,0.878,0
0.468,0.872,0
0.452,0.866,0
0.437,0.861,0
0.454,0.857,0
0.428,0.861,0
0.468,0.827,0
0.452,0.830,0
0.473,0.880,0
0.472,0.890,0
0.457,0.870,0
0.435,0.892,0
0.441,0.881,0
0.459,0.891,0
0.448,0.863,0
0.461,0.860,0
0.442,0.853,0
0.479,0.875,0
0.456,0.839,0
0.453,0.890,0
0.457,0.851,0
0.456,0.854,0
0.481,0.842,0
0.474,0.847,0
0.452,0.860,0
0.474,0.830,0
0.481,0.866,0
0.448,0.838,0
0.463,0.883,0
0.476,0.862,0
0.480,0.890,0
0.459,0.859,0
0.484,0.875,0
0.453,0.882,0
0.507,0.848,0
0.461,0.872,0
0.467,0.842,0
0.467,0.843,0
0.492,0.844,0
0.457,0.855,0
0.492,0.824,0
0.485,0.838,0
0.452,0.862,0
0.477,0.821,0
0.475,0.832,0
0.483,0.829,0
0.484,0.831,0
0.482,0.816,0
0.516,0.868,0
0.494,0.853,0
0.499,0.825,0
0.493,0.823,0
0.494,0.852,0
0.524,0.856,0
0.485,0.850,0
0.477,0.846,0
0.471,0.811,0
0.490,0.839,0
0.511,0.845,0
0.520,0.827,0
0.498,0.828,0
0.489,0.815,0
0.486,0.867,0
0.491,0.844,0
0.489,0.831,0
0.507,0.852,0
0.495,0.840,0
0.530,0.860,0
0.484,0.855,0
0.491,0.853,0
0.505,0.860,0
0.514,0.844,0
0.505,0.815,0
0.496,0.853,0
0.504,0.810,0
0.479,0.861,0
0.530,0.850,0
0.531,0.838,0
0.511,0.831,0
0.504,0.846,0
0.505,0.844,0
0.492,0.838,0
0.499,0.867,0
0.515,0.868,0
0.488,0.843,0
0.491,0.816,0
0.500,0.855,0
0.507,0.852,0
0.515,0.836,0
0.525,0.853,0
0.511,0.839,0
0.517,0.826,0
0.532,0.813,0
0.534,0.824,0
0.517,0.834,0
0.520,0.814,0
0.504,0.819,0
0.518,0.818,0
0.520,0.816,0
0.526,0.840,0
0.520,0.808,0
0.512,0.830,0
0.527,0.822,0
0.508,0.792,0
0.543,0.813,0
0.516,0.799,0
0.517,0.813,0
0.518,0.807,0
0.515,0.805,0
0.544,0.801,0
0.535,0.803,0
0.541,0.829,0
0.512,0.810,0
0.488,0.786,0
0.508,0.820,0
0.528,0.828,0
0.535,0.840,0
0.533,0.827,0
0.525,0.800,0
0.518,0.803,0
0.548,0.772,0
0.541,0.794,0
0.532,0.818,0
0.541,0.775,0
0.549,0.798,0
0.528,0.810,0
0.524,0.798,0
0.553,0.794,0
0.535,0.808,0
0.542,0.790,0
0.529,0.815,0
0.536,0.804,0
0.542,0.780,0
0.552,0.763,0
0.529,0.780,0
0.532,0.781,0
0.552,0.783,0
0.551,0.758,0
0.543,0.793,0
0.558,0.777,0
0.574,0.794,0
0.563,0.749,0
0.556,0.772,0
0.540,0.789,0
0.558,0.794,0
0.571,0.777,0
0.549,0.770,0
0.552,0.787,0
0.552,0.768,0
0.529,0.760,0
0.518,0.783,0
0.551,0.790,0
0.533,0.768,0
0.533,0.781,0
0.543,0.785,0
0.542,0.788,0
0.539,0.781,0
0.568,0.807,0
0.552,0.793,0
0.529,0.760,0
0.538,0.781,0
0.577,0.795,0
0.540,0.806,0
0.561,0.792,0
0.530,0.774,0
0.537,0.790,0
0.565,0.775,0
0.548,0.803,0
0.526,0.749,0
0.548,0.776,0
0.553,0.776,0
0.552,0.763,0
0.544,0.768,0
0.541,0.766,0
0.567,0.761,0
0.558,0.759,0
0.541,0.725,0
0.577,0.771,0
0.550,0.757,0
0.569,0.746,0
0.578,0.743,0
0.544,0.765,0
0.570,0.761,0
0.582,0.787,0
0.578,0.781,0
0.572,0.789,0
0.569,0.767,0
0.571,0.796,0
0.552,0.769,0
0.562,0.747,0
0.567,0.763,0
0.579,0.727,0
0.560,0.767,0
0.582,0.731,0
0.547,0.775,0
0.576,0.769,0
0.581,0.752,0
0.576,0.753,0
0.558,0.784,0
0.579,0.739,0
0.568,0.734,0
0.549,0.756,0
0.568,0.741,0
0.567,0.731,0
0.551,0.774,0
0.568,0.753,0
0.583,0.766,0
0.577,0.714,0
0.563,0.753,0
0.562,0.765,0
0.553,0.755,0
0.575,0.749,0
0.579,0.762,0
0.593,0.767,0
0.564,0.744,0
0.554,0.741,0
0.565,0.731,0
0.576,0.767,0
0.581,0.767,0
0.567,0.735,0
0.561,0.743,0
0.550,0.730,0
0.567,0.754,0
0.558,0.724,0
0.577,0.757,0
0.575,0.733,0
0.581,0.752,0
0.552,0.762,0
0.563,0.734,0
0.581,0.731,0
0.549,0.768,0
0.558,0.697,0
0.562,0.739,0
0.564,0.713,0
0.569,0.722,0
0.580,0.735,0
0.572,0.740,0
0.580,0.739,0
0.571,0.741,0
0.560,0.759,0
0.574,0.709,0
0.594,0.686,0
0.577,0.742,0
0.586,0.742,0
0.591,0.732,0
0.573,0.734,0
0.565,0.725,0
0.582,0.717,0
0.586,0.712,0
0.577,0.732,0
0.602,0.740,0
0.574,0.743,0
0.575,0.706,0
0.577,0.730,0
0.587,0.740,0
0.592,0.719,0
0.579,0.699,0
0.573,0.751,0
0.597,0.714,0
0.597,0.718,0
0.588,0.733,0
0.598,0.718,0
0.598,0.724,0
0.603,0.723,0
0.612,0.694,0
0.584,0.713,0
0.588,0.754,0
0.585,0.716,0
0.578,0.757,0
0.610,0.735,0
0.616,0.703,0
0.591,0.714,0
0.574,0.701,0
0.581,0.703,0
0.596,0.689,0
0.597,0.692,0
0.577,0.716,0
0.581,0.695,0
0.588,0.694,0
0.588,0.722,0
0.577,0.712,0
0.604,0.729,0
0.607,0.699,0
0.588,0.694,0
0.596,0.702,0
0.607,0.723,0
0.592,0.696,0
0.587,0.659,0
0.589,0.690,0
0.592,0.679,0
0.598,0.702,0
0.591,0.667,0
0.606,0.715,0
0.593,0.699,0
0.590,0.704,0
0.597,0.683,0
0.607,0.678,0
0.609,0.660,0
0.600,0.715,0
0.595,0.705,0
0.611,0.677,0
0.580,0.681,0
0.590,0.663,0
0.602,0.688,0
0.600,0.667,0
0.609,0.699,0
0.602,0.710,0
0.565,0.691,0
0.612,0.684,0
0.588,0.684,0
0.594,0.668,0
0.586,0.671,0
0.588,0.681,0
0.613,0.681,0
0.597,0.676,0
0.603,0.691,0
0.584,0.679,0
0.612,0.683,0
0.592,0.655,0
0.607,0.662,0
0.593,0.662,0
0.626,0.673,0
0.576,0.680,0
0.613,0.664,0
0.592,0.673,0
0.593,0.663,0
0.619,0.691,0
0.586,0.669,0
0.602,0.643,0
0.607,0.647,0
0.587,0.673,0
0.605,0.638,0
0.600,0.660,0
0.613,0.655,0
0.610,0.662,0
0.626,0.671,0
0.620,0.623,0
0.611,0.665,0
0.593,0.657,0
0.603,0.683,0
0.590,0.662,0
0.607,0.682,0
0.601,0.652,0
0.605,0.645,0
0.619,0.636,0
0.601,0.641,0
0.638,0.633,0
0.604,0.622,0
0.606,0.626,0
0.610,0.615,0
0.592,0.647,0
0.593,0.628,0
0.603,0.659,0
0.602,0.655,0
0.593,0.618,0
0.608,0.654,0
0.610,0.638,0
0.609,0.630,0
0.605,0.591,0
0.596,0.614,0
0.610,0.622,0
0.626,0.645,0
0.597,0.664,0
0.582,0.595,0
0.616,0.633,0
0.592,0.633,0
0.570,0.624,0
0.629,0.605,0
0.606,0.638,0
0.587,0.606,0
0.595,0.587,0
0.570,0.614,0
0.600,0.637,0
0.604,0.619,0
0.587,0.617,0
0.602,0.622,0
0.617,0.629,0
0.597,0.618,0
0.579,0.594,0
0.584,0.641,0
0.601,0.605,0
0.592,0.617,0
0.600,0.605,0
0.597,0.623,0
0.594,0.625,0
0.595,0.580,0
0.592,0.596,0
0.596,0.619,0
0.612,0.605,0
0.619,0.576,0
0.592,0.595,0
0.615,0.618,0
0.605,0.590,0
0.578,0.622,0
0.589,0.613,0
0.615,0.570,0
0.576,0.599,0
0.583,0.583,0
0.597,0.592,0
0.593,0.615,0
0.620,0.598,0
0.585,0.570,0
0.568,0.597,0
0.583,0.581,0
0.578,0.597,0
0.589,0.589,0
0.591,0.590,0
0.591,0.594,0
0.597,0.598,0
0.577,0.574,0
0.586,0.598,0
0.578,0.577,0
0.575,0.609,0
0.610,0.586,0
0.598,0.561,0
0.586,0.598,0
0.587,0.596,0
0.621,0.559,0
0.617,0.597,0
0.582,0.556,0
0.595,0.603,0
0.624,0.571,0
0.591,0.590,0
0.604,0.604,0
0.623,0.574,0
0.590,0.587,0
0.617,0.551,0
0.590,0.567,0
0.585,0.605,0
0.575,0.555,0
0.621,0.554,0
0.613,0.567,0
0.594,0.606,0
0.598,0.592,0
0.586,0.550,0
0.580,0.584,0
0.577,0.572,0
0.613,0.554,0
